date,error_elo,error_adj,added_players,new_pid_percentage,matches_count,p_repeat_time,p_walk_length,rw_time_cost,emb_time_cost,nv,ne,period,window_size
3.0,0.3825789923142613,0.37233134073441504,421.0,0.2846517917511832,1053.0,16.0,100.0,3.631,15.137,1058.0,21590.0,1.0,5.0
4.0,0.36727272727272725,0.352,436.0,0.2807469414037347,1006.0,16.0,100.0,4.2,16.455,1117.0,20344.0,1.0,5.0
5.0,0.38468720821662,0.3370681605975724,334.0,0.21534493874919408,1171.0,16.0,100.0,3.552,18.223,1217.0,23448.0,1.0,5.0
6.0,0.42836041358936483,0.4032496307237814,232.0,0.15718157181571815,1375.0,16.0,100.0,4.735,18.411,1244.0,27154.0,1.0,5.0
7.0,0.40197287299630086,0.3723797780517879,305.0,0.20225464190981432,1071.0,16.0,100.0,3.797,18.465,1203.0,21655.0,1.0,5.0
8.0,0.38181818181818183,0.3696969696969697,386.0,0.2671280276816609,677.0,16.0,100.0,3.209,14.885,1059.0,14115.0,1.0,5.0
9.0,0.38467943380516234,0.37885095753538717,388.0,0.2597054886211513,811.0,16.0,100.0,3.641,15.829,1106.0,16960.0,1.0,5.0
10.0,0.4106776180698152,0.406570841889117,362.0,0.23613829093281147,1155.0,16.0,100.0,4.153,16.539,1171.0,22926.0,1.0,5.0
11.0,0.4069400630914827,0.38958990536277605,246.0,0.16988950276243095,1201.0,16.0,100.0,5.64,17.808,1202.0,23879.0,1.0,5.0
12.0,0.38028169014084506,0.38028169014084506,179.0,0.12989840348330914,974.0,16.0,100.0,4.045,18.215,1199.0,19405.0,1.0,5.0
