date,error_elo,error_adj,added_players,new_pid_percentage,matches_count,p_repeat_time,p_walk_length,rw_time_cost,emb_time_cost,nv,ne,period,window_size
3.0,0.27900027166530833,0.26989948383591417,377.0,0.2692857142857143,8024.0,16.0,100.0,1.033,14.929,1023.0,4097.0,1.0,5.0
4.0,0.2706698510178551,0.2644148754691232,414.0,0.3080357142857143,7446.0,16.0,100.0,1.434,13.324,930.0,3884.0,1.0,5.0
5.0,0.2593617021276596,0.244468085106383,390.0,0.2852962692026335,7362.0,16.0,100.0,0.697,13.845,977.0,3812.0,1.0,5.0
6.0,0.26505474452554745,0.25547445255474455,429.0,0.3038243626062323,8793.0,16.0,100.0,1.933,13.868,983.0,4428.0,1.0,5.0
7.0,0.2607354956601188,0.2523983554134308,452.0,0.31323631323631324,9400.0,16.0,100.0,2.142,14.046,991.0,4729.0,1.0,5.0
8.0,0.24851073395526582,0.24053051590423738,449.0,0.2999331997327989,8768.0,16.0,100.0,1.111,14.94,1048.0,4453.0,1.0,5.0
9.0,0.25613994439295645,0.25312789620018533,450.0,0.30080213903743314,8756.0,16.0,100.0,2.166,15.013,1046.0,4399.0,1.0,5.0
10.0,0.2650541056651814,0.2524506683640993,425.0,0.2840909090909091,8897.0,16.0,100.0,2.084,15.18,1071.0,4446.0,1.0,5.0
11.0,0.26616161616161615,0.2590909090909091,411.0,0.2868108862526169,8632.0,16.0,100.0,1.057,14.597,1022.0,4217.0,1.0,5.0
12.0,0.2630147149746507,0.2543588475330778,403.0,0.2890961262553802,7855.0,16.0,100.0,1.233,14.264,991.0,3807.0,1.0,5.0
